millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
531437	138	609	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	10	721	0	0
557434	-130	830	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-0.23921567	10	721	0	11
557466	161	660	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-0.40392154	10	721	0	20
557502	160	614	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-0.654902	10	721	0	32
557537	833	580	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-0.94509804	10	721	0	47
557570	-268	941	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557603	4	505	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557633	-111	772	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557666	-131	716	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557702	522	1035	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557737	-20	605	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557770	678	809	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557799	506	684	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	0.0	-1.0	10	721	0	50
557833	-231	667	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.17647058	-1.0	10	721	0	41
557869	-235	645	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.18431371	-1.0	10	721	0	40
557903	341	926	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.18431371	-1.0	10	721	0	40
557937	81	555	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.18431371	-1.0	10	721	0	40
557965	-34	730	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.18431371	-1.0	10	721	0	40
558004	818	823	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.23137254	-1.0	10	721	0	38
558034	499	728	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.23137254	-1.0	10	721	0	38
558066	392	530	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.27843136	-1.0	10	721	0	36
558104	-299	499	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.38823527	-1.0	10	721	0	30
558137	-444	599	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.47450978	-1.0	10	721	0	26
558169	270	587	334	2	372	143	77	231	122	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	0.0	-0.4980392	-1.0	10	721	0	25
