millis	xpos	ypos	sX	sY	dpX	dpY	red	green	blue	opacity	A1	A2	A3	A4	L1	R1	L2	R2	S1	S2	M1	M2	up	down	left	right	anlgX	anlgY	anlgU	anlgV	x_mean	y_mean	joy1_int	joy2_int
2031305	1311	306	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0	0.0	0.0	0.0	840	420	0	0
2031741	588	582	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.20784312	0.0	0.0	840	420	10	0
2031768	500	300	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.5529412	0.0	0.0	840	420	27	0
2031803	963	454	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17647064	-0.827451	0.0	0.0	840	420	50	0
2031836	425	300	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2313726	-0.81960785	0.0	0.0	840	420	52	0
2031870	897	329	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2313726	-0.7411765	0.0	0.0	840	420	48	0
2031904	891	542	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.40392154	0.0	0.0	840	420	20	0
2031936	1653	159	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.1607843	0.0	0.0	840	420	8	0
2031968	1039	373	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19999999	0.0	0.0	0.0	840	420	-10	0
2032003	594	437	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.5137255	-0.19999999	0.0	0.0	840	420	-16	0
2032036	1221	365	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.35686272	0.0	0.0	840	420	-33	0
2032068	535	268	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.372549	0.0	0.0	840	420	-32	0
2032103	873	618	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.372549	0.0	0.0	840	420	-32	0
2032135	1578	389	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	-0.23921567	0.0	0.0	840	420	-39	0
2032174	984	351	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1.0	0.0	0.0	0.0	840	420	-50	0
2032201	769	425	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.94509804	0.6156863	0.0	0.0	840	420	-79	0
2032236	1192	498	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.84313726	0.96862745	0.0	0.0	840	420	-91	0
2032270	317	466	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.7647059	1.0	0.0	0.0	840	420	-89	0
2032303	254	377	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.6313726	1.0	0.0	0.0	840	420	-82	0
2032336	944	373	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.40392154	1.0	0.0	0.0	840	420	-71	0
2032369	710	78	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19999999	0.7176471	0.0	0.0	840	420	-46	0
2032400	578	389	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18431371	0.0	0.0	0.0	840	420	-10	0
2032435	435	587	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.18431371	0.0	0.0	0.0	840	420	-10	0
2032468	935	433	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.26274508	0.0	0.0	0.0	840	420	-14	0
2032501	295	485	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2862745	0.0	0.0	0.0	840	420	-15	0
2032534	767	524	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.2862745	0.0	0.0	0.0	840	420	-15	0
2032568	715	556	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27843136	0.0	0.0	0.0	840	420	-14	0
2032606	305	549	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19999999	-0.15294117	0.0	0.0	840	420	-3	0
2032640	1129	475	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.17647058	0.0	0.0	840	420	8	0
2032670	542	340	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.19999999	0.0	0.0	840	420	9	0
2032701	351	476	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.19999999	0.0	0.0	840	420	9	0
2032733	506	496	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.19999999	0.0	0.0	840	420	9	0
2032767	1254	650	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.17647058	0.0	0.0	840	420	8	0
2033168	1057	383	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.21568626	0.0	0.0	840	420	10	0
2033200	1193	508	497	319	354	111	211	196	236	89	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0	-0.24705881	0.0	0.0	840	420	12	0
